Participant,Device,Method,Size,Angle
P6,Normal,Normal,Half,1.3721
P6,tPad,Clipped,Half,2.7999
P6,tPad,Clipped,Half,0.4801
P6,tPad,Clipped,Half,0.1255
P6,tPad,Clipped,Half,0.2551
P6,tPad,Clipped,Half,0.1426
P6,tPad,Clipped,Half,0.6891
P6,tPad,Clipped,Half,0.4053
P6,tPad,Clipped,Half,0.1097
P6,tPad,Clipped,Half,0.4907
P6,Normal,Normal,Quarter,0.6095
P6,Normal,Normal,Quarter,1.8476
P6,Normal,Normal,Quarter,1.828
P6,Normal,Normal,Quarter,2.2724
P6,Normal,Normal,Quarter,1.3577
P6,Normal,Normal,Quarter,0
P6,Normal,Normal,Quarter,0.5509
P6,Normal,Normal,Quarter,2.0026
P6,Normal,Normal,Quarter,0
P6,tPad,Clipped,ThreeQuarters,0.0439
P6,tPad,Clipped,ThreeQuarters,1.5362
P6,tPad,Clipped,ThreeQuarters,0.4552
P6,tPad,Clipped,ThreeQuarters,0.7204
P6,tPad,Clipped,ThreeQuarters,0.4154
P6,tPad,Clipped,ThreeQuarters,1.0136
P6,tPad,Clipped,ThreeQuarters,1.0823
P6,tPad,Clipped,ThreeQuarters,0.2587
P6,tPad,Clipped,ThreeQuarters,1.3489
P7,tPad,Normal,Quarter,1.8798
P7,tPad,Normal,Quarter,2.0793
P7,tPad,Normal,Quarter,0.967
P7,tPad,Normal,Quarter,0.1862
P7,tPad,Normal,Quarter,1.1545
P7,tPad,Normal,Quarter,0.577
P7,tPad,Normal,Quarter,1.1532
P7,tPad,Normal,Quarter,0.6427
P7,tPad,Normal,Quarter,0.5603
P7,tPad,Normal,Half,1.9745
P7,tPad,Normal,Half,2.7058
P7,tPad,Normal,Half,0.1359
P7,tPad,Normal,Half,1.4857
P7,tPad,Normal,Half,1.8347
P7,tPad,Normal,Half,0.7448
P7,tPad,Normal,Half,1.233
P7,tPad,Normal,Half,2.0825
P7,tPad,Normal,Half,0.6335
P7,Normal,Clipped,ThreeQuarters,1.8581
P7,Normal,Clipped,ThreeQuarters,0.6576
P7,Normal,Clipped,ThreeQuarters,0.3343
P7,Normal,Clipped,ThreeQuarters,2.4437
P7,Normal,Clipped,ThreeQuarters,0.1567
P7,Normal,Clipped,ThreeQuarters,0.4755
P7,Normal,Clipped,ThreeQuarters,3.9198
P7,Normal,Clipped,ThreeQuarters,1.7687
P7,Normal,Clipped,ThreeQuarters,1.7889
P7,Normal,Clipped,Half,2.1442
P7,Normal,Clipped,Half,1.0984
P7,Normal,Clipped,Half,0.5678
P7,Normal,Clipped,Half,0.4636
P7,Normal,Clipped,Half,2.712
P7,Normal,Clipped,Half,0.7725
P7,Normal,Clipped,Half,2.3373
P7,Normal,Clipped,Half,3.6124
P7,Normal,Clipped,Half,1.0341
P7,tPad,Clipped,Quarter,1.0035
P7,tPad,Clipped,Quarter,1.6095
P7,tPad,Clipped,Quarter,1.1222
P7,tPad,Clipped,Quarter,1.2172
P7,tPad,Clipped,Quarter,0.8425
P7,tPad,Clipped,Quarter,0.6664
P7,tPad,Clipped,Quarter,0.2551
P7,tPad,Clipped,Quarter,0.4239
P7,tPad,Clipped,Quarter,1.6665
P7,Normal,Clipped,Quarter,0.5787
P7,Normal,Clipped,Quarter,4.4683
P7,Normal,Clipped,Quarter,4.5701
P7,Normal,Clipped,Quarter,1.2842
P7,Normal,Clipped,Quarter,1.5556
P7,Normal,Clipped,Quarter,9.5009
P7,Normal,Clipped,Quarter,9.8029
P7,Normal,Clipped,Quarter,1.1465
P7,Normal,Clipped,Quarter,2.4689
P7,Normal,Normal,ThreeQuarters,0.2099
P7,Normal,Normal,ThreeQuarters,3.6522
P7,Normal,Normal,ThreeQuarters,3.8506
P7,Normal,Normal,ThreeQuarters,1.0053
P7,Normal,Normal,ThreeQuarters,1.3575
P7,Normal,Normal,ThreeQuarters,1.1812
P7,Normal,Normal,ThreeQuarters,0.507
P7,Normal,Normal,ThreeQuarters,4.4716
P7,Normal,Normal,ThreeQuarters,3.3945
P7,tPad,Clipped,ThreeQuarters,0.2947
P7,tPad,Clipped,ThreeQuarters,0.3088
P7,tPad,Clipped,ThreeQuarters,0.5183
P7,tPad,Clipped,ThreeQuarters,1.1802
P7,tPad,Clipped,ThreeQuarters,0.78
P7,tPad,Clipped,ThreeQuarters,0.5091
P7,tPad,Clipped,ThreeQuarters,2.6045
P7,tPad,Clipped,ThreeQuarters,0.1807
P7,tPad,Clipped,ThreeQuarters,0.0937
P7,Normal,Normal,Half,0.4621
P7,Normal,Normal,Half,0.7673
P7,Normal,Normal,Half,3.3513
P7,Normal,Normal,Half,1.6135
P7,Normal,Normal,Half,8.2463
P7,Normal,Normal,Half,4.3276
P7,Normal,Normal,Half,2.3373
P7,Normal,Normal,Half,1.1458
P7,Normal,Normal,Half,0.5968
P7,Normal,Normal,Quarter,1.014
P7,Normal,Normal,Quarter,4.6859
P7,Normal,Normal,Quarter,6.4175
P7,Normal,Normal,Quarter,2.224
P7,Normal,Normal,Quarter,15.5809
P7,Normal,Normal,Quarter,18.6102
P7,Normal,Normal,Quarter,14.0618
P7,Normal,Normal,Quarter,1.325
P7,Normal,Normal,Quarter,19.406
P8,tPad,Normal,Half,1.2189
P8,tPad,Normal,Half,0.779
P8,tPad,Normal,Half,2.2775
P8,tPad,Normal,Half,1.3071
P8,tPad,Normal,ThreeQuarters,0.9185
P8,tPad,Normal,ThreeQuarters,0.5917
P8,tPad,Normal,ThreeQuarters,0.9623
P8,tPad,Normal,ThreeQuarters,0.6734
P8,tPad,Normal,ThreeQuarters,0.3587
P8,tPad,Normal,ThreeQuarters,0.4023
P8,tPad,Normal,ThreeQuarters,3.5448
P8,tPad,Normal,ThreeQuarters,2.5712
P8,tPad,Normal,Quarter,0.3142
P8,tPad,Normal,Quarter,1.8426
P8,tPad,Normal,Quarter,0.9615
P8,tPad,Normal,Quarter,1.4672
P8,tPad,Normal,Quarter,3.0766
P8,tPad,Normal,Quarter,0.8901
P8,tPad,Normal,Quarter,0
P8,tPad,Normal,Quarter,3.7735
P8,tPad,Normal,Quarter,2.1643
P8,tPad,Clipped,Quarter,1.8709
P8,tPad,Clipped,Quarter,0.9341
P8,tPad,Clipped,Quarter,1.4795
P8,tPad,Clipped,Quarter,0.5472
P8,tPad,Clipped,Quarter,1.9068
P8,tPad,Clipped,Quarter,1.7677
P8,tPad,Clipped,Quarter,0.8108
P8,tPad,Clipped,Quarter,0.1646
P8,tPad,Clipped,Quarter,0.4183
P8,Normal,Clipped,ThreeQuarters,2.383
P8,Normal,Clipped,ThreeQuarters,1.7086
P8,Normal,Clipped,ThreeQuarters,2.1918
P8,Normal,Clipped,ThreeQuarters,2.8008
P8,Normal,Clipped,ThreeQuarters,0.6469
P8,Normal,Clipped,ThreeQuarters,2.9695
P8,Normal,Clipped,ThreeQuarters,0.4064
P8,Normal,Clipped,ThreeQuarters,0.8837
P8,Normal,Clipped,ThreeQuarters,4.338
P8,tPad,Clipped,Half,2.0643
P8,tPad,Clipped,Half,0.4238
P8,tPad,Clipped,Half,0.0487
P8,tPad,Clipped,Half,0
P8,tPad,Clipped,Half,0.6448
P8,tPad,Clipped,Half,0.4101
P8,tPad,Clipped,Half,0.2187
P8,tPad,Clipped,Half,0.1923
P8,tPad,Clipped,Half,0.1929
P8,Normal,Clipped,Half,1.6523
P8,Normal,Clipped,Half,0.0442
P8,Normal,Clipped,Half,2.5392
P8,Normal,Clipped,Half,4.1076
P8,Normal,Clipped,Half,4.4464
P8,Normal,Clipped,Half,1.6549
P8,Normal,Clipped,Half,4.5696
P8,Normal,Clipped,Half,0.8181
P8,Normal,Clipped,Half,0.9502
P8,tPad,Clipped,ThreeQuarters,0.2678
P8,tPad,Clipped,ThreeQuarters,1.2231
P8,tPad,Clipped,ThreeQuarters,3.7528
P8,tPad,Clipped,ThreeQuarters,0.2323
P8,tPad,Clipped,ThreeQuarters,0.1259
P8,tPad,Clipped,ThreeQuarters,0.2703
P8,tPad,Clipped,ThreeQuarters,0.1839
P8,tPad,Clipped,ThreeQuarters,0.5227
P8,tPad,Clipped,ThreeQuarters,0.1357
P8,Normal,Clipped,Quarter,2.9315
P8,Normal,Clipped,Quarter,1.4277
P8,Normal,Clipped,Quarter,1.3
P8,Normal,Clipped,Quarter,4.6728
P8,Normal,Clipped,Quarter,1.6136
P8,Normal,Clipped,Quarter,9.2103
P8,Normal,Clipped,Quarter,1.2107
P8,Normal,Clipped,Quarter,2.9775
P8,Normal,Clipped,Quarter,1.6609
P8,Normal,Normal,Quarter,0.7073
P8,Normal,Normal,Quarter,0.7117
P8,Normal,Normal,Quarter,1.9614
P8,Normal,Normal,Quarter,0.3745
P8,Normal,Normal,Quarter,0.7538
P8,Normal,Normal,Quarter,5.8774
P8,Normal,Normal,Quarter,5.2375
P8,Normal,Normal,Quarter,7.8533
P8,Normal,Normal,Quarter,6.229
P8,Normal,Normal,ThreeQuarters,1.5967
P8,Normal,Normal,ThreeQuarters,1.7837
P8,Normal,Normal,ThreeQuarters,2.4896
P8,Normal,Normal,ThreeQuarters,0.3049
P8,Normal,Normal,ThreeQuarters,0
P8,Normal,Normal,ThreeQuarters,5.0115
P8,Normal,Normal,ThreeQuarters,4.1182
P8,Normal,Normal,ThreeQuarters,3.4197
P8,Normal,Normal,ThreeQuarters,2.6063
P8,Normal,Normal,Half,0.7994
P8,Normal,Normal,Half,0.3165
P8,Normal,Normal,Half,2.2395
P8,Normal,Normal,Half,1.5009
P8,Normal,Normal,Half,2.1299
P8,Normal,Normal,Half,4.3432
P8,Normal,Normal,Half,1.9902
P8,Normal,Normal,Half,1.4626
P8,Normal,Normal,Half,3.4284
P9,tPad,Normal,ThreeQuarters,0.7007
P9,tPad,Normal,ThreeQuarters,1.4402
P9,tPad,Normal,ThreeQuarters,0.4719
P9,tPad,Normal,ThreeQuarters,0.7287
P9,tPad,Normal,ThreeQuarters,0.9361
P9,tPad,Normal,ThreeQuarters,2.4501
P9,tPad,Normal,ThreeQuarters,0.9792
P9,tPad,Normal,ThreeQuarters,4.7466
P9,tPad,Normal,ThreeQuarters,3.0009
P9,tPad,Clipped,Quarter,3.8585
P9,tPad,Clipped,Quarter,3.2754
P9,tPad,Clipped,Quarter,0.754
P9,tPad,Clipped,Quarter,4.2127
P9,tPad,Clipped,Quarter,0.6702
P9,tPad,Clipped,Quarter,1.241
P9,tPad,Clipped,Quarter,2.0499
P9,tPad,Clipped,Quarter,3.0831
P9,tPad,Clipped,Quarter,6.6228
P9,tPad,Normal,Half,2.7072
P9,tPad,Normal,Half,3.7428
P9,tPad,Normal,Half,0.7437
P9,tPad,Normal,Half,1.59
P9,tPad,Normal,Half,1.9104
P9,tPad,Normal,Half,0.1158
P9,tPad,Normal,Half,1.6138
P9,tPad,Normal,Half,0.2767
P9,tPad,Normal,Half,1.6193
P9,tPad,Clipped,Half,1.3637
P9,tPad,Clipped,Half,5.7392
P9,tPad,Clipped,Half,2.5511
P9,tPad,Clipped,Half,4.0849
P9,tPad,Clipped,Half,0.0379
P9,tPad,Clipped,Half,0.1602
P9,tPad,Clipped,Half,1.4979
P9,tPad,Clipped,Half,1.3025
P9,tPad,Clipped,Half,0.9243
P9,tPad,Normal,Quarter,0.8992
P9,tPad,Normal,Quarter,1.0928
P9,tPad,Normal,Quarter,0.1437
P9,tPad,Normal,Quarter,0.9253
P9,tPad,Normal,Quarter,0.1535
P9,tPad,Normal,Quarter,0.7135
P9,tPad,Normal,Quarter,1.5091
P9,tPad,Normal,Quarter,0.1504
P9,tPad,Normal,Quarter,0.4802
P9,tPad,Clipped,ThreeQuarters,1.4693
P9,tPad,Clipped,ThreeQuarters,0.3826
P9,tPad,Clipped,ThreeQuarters,0.3245
P9,tPad,Clipped,ThreeQuarters,1.7896
P9,tPad,Clipped,ThreeQuarters,1.9465
P9,tPad,Clipped,ThreeQuarters,0.7709
P9,tPad,Clipped,ThreeQuarters,2.1783
P9,tPad,Clipped,ThreeQuarters,0.0998
P9,tPad,Clipped,ThreeQuarters,0.0425
P9,Normal,Clipped,ThreeQuarters,1.2204
P9,Normal,Clipped,ThreeQuarters,1.1212
P9,Normal,Clipped,ThreeQuarters,1.9288
P9,Normal,Clipped,ThreeQuarters,1.1652
P9,Normal,Clipped,ThreeQuarters,0.7953
P9,Normal,Clipped,ThreeQuarters,0.7527
P9,Normal,Clipped,ThreeQuarters,0.481
P9,Normal,Clipped,ThreeQuarters,0.7873
P9,Normal,Clipped,ThreeQuarters,2.3368
P9,Normal,Normal,Quarter,1.9731
P9,Normal,Normal,Quarter,2.1208
P9,Normal,Normal,Quarter,3.9116
P9,Normal,Normal,Quarter,1.8765
P9,Normal,Normal,Quarter,1.606
P9,Normal,Normal,Quarter,2.1369
P9,Normal,Normal,Quarter,0.4441
P9,Normal,Normal,Quarter,0
P9,Normal,Normal,Quarter,0.4407
P9,Normal,Clipped,Half,8.7879
P9,Normal,Clipped,Half,0.9663
P9,Normal,Clipped,Half,3.2397
P9,Normal,Clipped,Half,8.1892
P9,Normal,Clipped,Half,2.7052
P9,Normal,Clipped,Half,0.7287
P9,Normal,Clipped,Half,1.273
P9,Normal,Clipped,Half,0.8767
P9,Normal,Clipped,Half,0.8206
P9,Normal,Normal,Half,1.1233
P9,Normal,Normal,Half,0.8519
P9,Normal,Normal,Half,3.3246
P9,Normal,Normal,Half,0.2593
P9,Normal,Normal,Half,0.8318
P9,Normal,Normal,Half,2.0887
P9,Normal,Normal,Half,0.2836
P9,Normal,Normal,Half,2.721
P9,Normal,Normal,Half,1.0051
P9,Normal,Clipped,Quarter,8.1058
P9,Normal,Clipped,Quarter,1.1108
P9,Normal,Clipped,Quarter,0.801
P9,Normal,Clipped,Quarter,4.9613
P9,Normal,Clipped,Quarter,0.031
P9,Normal,Clipped,Quarter,0.3452
P9,Normal,Clipped,Quarter,1.0809
P9,Normal,Clipped,Quarter,0.8303
P9,Normal,Clipped,Quarter,2.567
P9,Normal,Normal,ThreeQuarters,0.5846
P9,Normal,Normal,ThreeQuarters,2.3859
P9,Normal,Normal,ThreeQuarters,3.5967
P9,Normal,Normal,ThreeQuarters,2.9425
P9,Normal,Normal,ThreeQuarters,1.8648
P9,Normal,Normal,ThreeQuarters,0.078
P9,Normal,Normal,ThreeQuarters,0.601
P9,Normal,Normal,ThreeQuarters,1.2018
P9,Normal,Normal,ThreeQuarters,0.2146
P10,tPad,Clipped,Quarter,3.5384
P10,tPad,Clipped,Quarter,0.1617
P10,tPad,Clipped,Quarter,1.7704
P10,tPad,Clipped,Quarter,0.9179
P10,tPad,Clipped,Quarter,0.028
P10,tPad,Clipped,Quarter,2.714
P10,tPad,Clipped,Quarter,1.4961
P10,tPad,Clipped,Quarter,0.38
P10,tPad,Clipped,Quarter,0.3399
P10,tPad,Clipped,Half,0.9378
P10,tPad,Clipped,Half,0.8224
P10,tPad,Clipped,Half,0.5232
P10,tPad,Clipped,Half,0.4356
P10,tPad,Clipped,Half,0.3868
P10,tPad,Clipped,Half,0.5996
P10,tPad,Clipped,Half,0.2191
P10,tPad,Clipped,Half,0.2826
P10,tPad,Clipped,Half,2.6947
P10,tPad,Normal,ThreeQuarters,2.0393
P10,tPad,Normal,ThreeQuarters,0.1539
P10,tPad,Normal,ThreeQuarters,1.2007
P10,tPad,Normal,ThreeQuarters,0.6006
P10,tPad,Normal,ThreeQuarters,0.532
P10,tPad,Normal,ThreeQuarters,0.3659
P10,tPad,Normal,ThreeQuarters,0.198
P10,tPad,Normal,ThreeQuarters,0.8307
P10,tPad,Normal,ThreeQuarters,1.0933
P10,tPad,Clipped,ThreeQuarters,0.0075
P10,tPad,Clipped,ThreeQuarters,0.0019
P10,tPad,Clipped,ThreeQuarters,0.5352
P10,tPad,Clipped,ThreeQuarters,0.2997
P10,tPad,Clipped,ThreeQuarters,0.292
P10,tPad,Clipped,ThreeQuarters,1.3188
P10,tPad,Clipped,ThreeQuarters,0.2757
P10,tPad,Clipped,ThreeQuarters,0.0254
P10,tPad,Clipped,ThreeQuarters,0.0338
P10,tPad,Normal,Half,0.2164
P10,tPad,Normal,Half,0.7977
P10,tPad,Normal,Half,2.1575
P10,tPad,Normal,Half,1.05
P10,tPad,Normal,Half,0.2533
P10,tPad,Normal,Half,0.8329
P10,tPad,Normal,Half,0.7285
P10,tPad,Normal,Half,1.8766
P10,tPad,Normal,Half,0.9254
P10,Normal,Normal,Quarter,5.5089
P10,Normal,Normal,Quarter,3.5487
P10,Normal,Normal,Quarter,3.231
P10,Normal,Normal,Quarter,2.2546
P10,Normal,Normal,Quarter,2.663
P10,Normal,Normal,Quarter,0.8425
P10,Normal,Normal,Quarter,1.8912
P10,Normal,Normal,Quarter,1.7715
P10,Normal,Normal,Quarter,2.4628
P10,tPad,Normal,Quarter,1.6559
P10,tPad,Normal,Quarter,1.093
P10,tPad,Normal,Quarter,2.0853
P10,tPad,Normal,Quarter,0.6906
P10,tPad,Normal,Quarter,1.478
P10,tPad,Normal,Quarter,2.5231
P10,tPad,Normal,Quarter,1.4264
P10,tPad,Normal,Quarter,0.2232
P10,tPad,Normal,Quarter,0.3174
P10,Normal,Normal,Half,0.8185
P10,Normal,Normal,Half,0.8733
P10,Normal,Normal,Half,2.6506
P10,Normal,Normal,Half,0.5011
P10,Normal,Normal,Half,1.4203
P10,Normal,Normal,Half,1.1706
P10,Normal,Normal,Half,0.4855
P10,Normal,Normal,Half,1.7075
P10,Normal,Normal,Half,2.0051
P10,Normal,Clipped,ThreeQuarters,0.5039
P10,Normal,Clipped,ThreeQuarters,2.5448
P10,Normal,Clipped,ThreeQuarters,1.1597
P10,Normal,Clipped,ThreeQuarters,1.7579
P10,Normal,Clipped,ThreeQuarters,1.416
P10,Normal,Clipped,ThreeQuarters,0.7542
P10,Normal,Clipped,ThreeQuarters,2.2315
P10,Normal,Clipped,ThreeQuarters,0.7631
P10,Normal,Clipped,ThreeQuarters,0.7538
P10,Normal,Normal,ThreeQuarters,2.15
P10,Normal,Normal,ThreeQuarters,3.3206
P10,Normal,Normal,ThreeQuarters,3.4166
P10,Normal,Normal,ThreeQuarters,0.7465
P10,Normal,Normal,ThreeQuarters,0.8069
P10,Normal,Normal,ThreeQuarters,0.191
P10,Normal,Normal,ThreeQuarters,1.3804
P10,Normal,Normal,ThreeQuarters,1.4641
P10,Normal,Normal,ThreeQuarters,2.7006
P10,Normal,Clipped,Half,0.3686
P10,Normal,Clipped,Half,1.8285
P10,Normal,Clipped,Half,0.4078
P10,Normal,Clipped,Half,1.0182
P10,Normal,Clipped,Half,0.9159
P10,Normal,Clipped,Half,0.2544
P10,Normal,Clipped,Half,0.9142
P10,Normal,Clipped,Half,0.3262
P10,Normal,Clipped,Half,0.3059
P10,Normal,Clipped,Quarter,1.9197
P10,Normal,Clipped,Quarter,0.2586
P10,Normal,Clipped,Quarter,1.2299
P10,Normal,Clipped,Quarter,0.1518
P10,Normal,Clipped,Quarter,1.5079
P10,Normal,Clipped,Quarter,3.2799
P10,Normal,Clipped,Quarter,5.9588
P10,Normal,Clipped,Quarter,4.6614
P10,Normal,Clipped,Quarter,3.3045
P11,tPad,Clipped,Half,0.5731
P11,tPad,Clipped,Half,2.0875
P11,tPad,Clipped,Half,3.7376
P11,tPad,Clipped,Half,2.0736
P11,tPad,Clipped,Half,2.478
P11,tPad,Clipped,Half,0.2214
P11,tPad,Clipped,Half,1.1753
P11,tPad,Clipped,Half,0.3234
P11,tPad,Clipped,Half,1.2209
P11,tPad,Clipped,ThreeQuarters,0.5702
P11,tPad,Clipped,ThreeQuarters,1.278
P11,tPad,Clipped,ThreeQuarters,1.8988
P11,tPad,Clipped,ThreeQuarters,0.3645
P11,tPad,Clipped,ThreeQuarters,1.4032
P11,tPad,Clipped,ThreeQuarters,1.2043
P11,tPad,Clipped,ThreeQuarters,2.1676
P11,tPad,Clipped,ThreeQuarters,1.9366
P11,tPad,Clipped,ThreeQuarters,2.251
P11,tPad,Clipped,Quarter,0.2079
P11,tPad,Clipped,Quarter,3.5553
P11,tPad,Clipped,Quarter,3.9125
P11,tPad,Clipped,Quarter,2.575
P11,tPad,Clipped,Quarter,4.3328
P11,tPad,Clipped,Quarter,2.054
P11,tPad,Clipped,Quarter,2.2558
P11,tPad,Clipped,Quarter,2.775
P11,tPad,Clipped,Quarter,3.6799
P11,Normal,Normal,Quarter,1.4879
P11,Normal,Normal,Quarter,1.9581
P11,Normal,Normal,Quarter,0
P11,Normal,Normal,Quarter,1.1935
P11,Normal,Normal,Quarter,0.6366
P11,Normal,Normal,Quarter,0.6821
P11,Normal,Normal,Quarter,1.3322
P11,Normal,Normal,Quarter,4.3987
P11,Normal,Normal,Quarter,3.0448
P11,tPad,Normal,ThreeQuarters,0.0292
P11,tPad,Normal,ThreeQuarters,0.4439
P11,tPad,Normal,ThreeQuarters,0.5846
P11,tPad,Normal,ThreeQuarters,1.2777
P11,tPad,Normal,ThreeQuarters,1.4715
P11,tPad,Normal,ThreeQuarters,1.0416
P11,tPad,Normal,ThreeQuarters,0.6565
P11,tPad,Normal,ThreeQuarters,0.5892
P11,tPad,Normal,ThreeQuarters,0.868
P11,Normal,Normal,Half,1.7594
P11,Normal,Normal,Half,0.8948
P11,Normal,Normal,Half,1.4528
P11,Normal,Normal,Half,2.3244
P11,Normal,Normal,Half,0.7283
P11,Normal,Normal,Half,3.4682
P11,Normal,Normal,Half,4.0856
P11,Normal,Normal,Half,0.7441
P11,Normal,Normal,Half,1.7509
P11,tPad,Normal,Half,0.6985
P11,tPad,Normal,Half,0.0633
P11,tPad,Normal,Half,0.1237
P11,tPad,Normal,Half,0.0445
P11,tPad,Normal,Half,0.7284
P11,tPad,Normal,Half,0.0921
P11,tPad,Normal,Half,0.9509
P11,tPad,Normal,Half,2.4505
P11,tPad,Normal,Half,1.0351
P11,Normal,Normal,ThreeQuarters,1.3849
P11,Normal,Normal,ThreeQuarters,1.0408
P11,Normal,Normal,ThreeQuarters,0.3898
P11,Normal,Normal,ThreeQuarters,0.1842
P11,Normal,Normal,ThreeQuarters,1.0769
P11,Normal,Normal,ThreeQuarters,0.2025
P11,Normal,Normal,ThreeQuarters,0.9754
P11,Normal,Normal,ThreeQuarters,1.5813
P11,Normal,Normal,ThreeQuarters,0.5787
P11,tPad,Normal,Quarter,0.3965
P11,tPad,Normal,Quarter,1.6273
P11,tPad,Normal,Quarter,0.7848
P11,tPad,Normal,Quarter,0.9439
P11,tPad,Normal,Quarter,0.3982
P11,tPad,Normal,Quarter,0.1589
P11,tPad,Normal,Quarter,1.6686
P11,tPad,Normal,Quarter,1.4768
P11,tPad,Normal,Quarter,0.3927
P11,Normal,Clipped,Quarter,0.909
P11,Normal,Clipped,Quarter,0.1301
P11,Normal,Clipped,Quarter,1.0324
P11,Normal,Clipped,Quarter,0.172
P11,Normal,Clipped,Quarter,4.2673
P11,Normal,Clipped,Quarter,0.5483
P11,Normal,Clipped,Quarter,0.1949
P11,Normal,Clipped,Quarter,0.6982
P11,Normal,Clipped,Quarter,1.5657
P11,Normal,Clipped,ThreeQuarters,1.0989
P11,Normal,Clipped,ThreeQuarters,2.5817
P11,Normal,Clipped,ThreeQuarters,2.1598
P11,Normal,Clipped,ThreeQuarters,1.4955
P11,Normal,Clipped,ThreeQuarters,0.916
P11,Normal,Clipped,ThreeQuarters,1.4698
P11,Normal,Clipped,ThreeQuarters,1.519
P11,Normal,Clipped,ThreeQuarters,2.6818
P11,Normal,Clipped,ThreeQuarters,1.1308
P11,Normal,Clipped,Half,2.1355
P11,Normal,Clipped,Half,1.3397
P11,Normal,Clipped,Half,0.7957
P11,Normal,Clipped,Half,2.4127
P11,Normal,Clipped,Half,4.3511
P11,Normal,Clipped,Half,1.0818
P11,Normal,Clipped,Half,0.1055
P11,Normal,Clipped,Half,3.1885
P11,Normal,Clipped,Half,1.7444
P12,tPad,Clipped,ThreeQuarters,0.4581
P12,tPad,Clipped,ThreeQuarters,0.8312
P12,tPad,Clipped,ThreeQuarters,0.5345
P12,tPad,Clipped,ThreeQuarters,1.3975
P12,tPad,Clipped,ThreeQuarters,0.8304
P12,tPad,Clipped,ThreeQuarters,0.3987
P12,tPad,Clipped,ThreeQuarters,0.4299
P12,tPad,Clipped,ThreeQuarters,0.7151
P12,tPad,Clipped,ThreeQuarters,0.0686
P12,tPad,Clipped,Half,0.5872
P12,tPad,Clipped,Half,0.1318
P12,tPad,Clipped,Half,0.6362
P12,tPad,Clipped,Half,0.2432
P12,tPad,Clipped,Half,0.2771
P12,tPad,Clipped,Half,0.7967
P12,tPad,Clipped,Half,0.2514
P12,tPad,Clipped,Half,0.317
P12,tPad,Clipped,Half,0.4734
P12,tPad,Clipped,Quarter,0.6166
P12,tPad,Clipped,Quarter,0.9906
P12,tPad,Clipped,Quarter,0.7569
P12,tPad,Clipped,Quarter,1.2411
P12,tPad,Clipped,Quarter,1.3653
P12,tPad,Clipped,Quarter,1.5408
P12,tPad,Clipped,Quarter,1.1379
P12,tPad,Clipped,Quarter,0.5145
P12,tPad,Clipped,Quarter,0.6134
P12,tPad,Normal,Half,0.0877
P12,tPad,Normal,Half,0.4827
P12,tPad,Normal,Half,4.5343
P12,tPad,Normal,Half,1.0649
P12,tPad,Normal,Half,0.4816
P12,tPad,Normal,Half,0.5488
P12,tPad,Normal,Half,0.2691
P12,tPad,Normal,Half,0.978
P12,tPad,Normal,Half,0.9521
P12,tPad,Normal,Quarter,1.4674
P12,tPad,Normal,Quarter,0.7013
P12,tPad,Normal,Quarter,0.8292
P12,tPad,Normal,Quarter,3.1351
P12,tPad,Normal,Quarter,2.6538
P12,tPad,Normal,Quarter,0.7176
P12,tPad,Normal,Quarter,2.5448
P12,tPad,Normal,Quarter,0.4832
P12,tPad,Normal,Quarter,1.3281
