Participant,Device,Method,Size,Offset
P6,Normal,Normal,Half,0.174
P6,Normal,Normal,Half,0.1057
P6,tPad,Clipped,Half,0.0646
P6,tPad,Clipped,Half,0.1516
P6,tPad,Clipped,Half,0.0572
P6,tPad,Clipped,Half,0.0734
P6,tPad,Clipped,Half,0.0665
P6,tPad,Clipped,Half,0.0993
P6,tPad,Clipped,Half,0.058
P6,tPad,Clipped,Half,0.054
P6,tPad,Clipped,Half,0.0566
P6,Normal,Normal,Quarter,0.0623
P6,Normal,Normal,Quarter,0.1234
P6,Normal,Normal,Quarter,0.0004
P6,Normal,Normal,Quarter,0.053
P6,Normal,Normal,Quarter,0.0901
P6,Normal,Normal,Quarter,0.1156
P6,Normal,Normal,Quarter,0.0747
P6,Normal,Normal,Quarter,0.0498
P6,Normal,Normal,Quarter,0.0544
P6,tPad,Clipped,ThreeQuarters,0.1985
P6,tPad,Clipped,ThreeQuarters,0.1711
P6,tPad,Clipped,ThreeQuarters,0.1482
P6,tPad,Clipped,ThreeQuarters,0.1463
P6,tPad,Clipped,ThreeQuarters,0.1839
P6,tPad,Clipped,ThreeQuarters,0.1638
P6,tPad,Clipped,ThreeQuarters,0.0406
P6,tPad,Clipped,ThreeQuarters,0.0748
P6,tPad,Clipped,ThreeQuarters,0.052
P7,tPad,Normal,Quarter,0.1104
P7,tPad,Normal,Quarter,0.0989
P7,tPad,Normal,Quarter,0.0752
P7,tPad,Normal,Quarter,0.0881
P7,tPad,Normal,Quarter,0.0176
P7,tPad,Normal,Quarter,0.0629
P7,tPad,Normal,Quarter,0.0713
P7,tPad,Normal,Quarter,0.039
P7,tPad,Normal,Quarter,0.0386
P7,tPad,Normal,Half,0.1039
P7,tPad,Normal,Half,0.1249
P7,tPad,Normal,Half,0.1977
P7,tPad,Normal,Half,0.1607
P7,tPad,Normal,Half,0.1375
P7,tPad,Normal,Half,0.1274
P7,tPad,Normal,Half,0.1031
P7,tPad,Normal,Half,0.1087
P7,tPad,Normal,Half,0.1232
P7,Normal,Clipped,ThreeQuarters,0.956
P7,Normal,Clipped,ThreeQuarters,0.1628
P7,Normal,Clipped,ThreeQuarters,0.2396
P7,Normal,Clipped,ThreeQuarters,0.1218
P7,Normal,Clipped,ThreeQuarters,0.354
P7,Normal,Clipped,ThreeQuarters,0.1543
P7,Normal,Clipped,ThreeQuarters,0.1919
P7,Normal,Clipped,ThreeQuarters,0.2021
P7,Normal,Clipped,ThreeQuarters,0.4427
P7,Normal,Clipped,Half,0.5852
P7,Normal,Clipped,Half,0.1607
P7,Normal,Clipped,Half,0.1661
P7,Normal,Clipped,Half,0.113
P7,Normal,Clipped,Half,0.2051
P7,Normal,Clipped,Half,0.1562
P7,Normal,Clipped,Half,0.0902
P7,Normal,Clipped,Half,0.2535
P7,Normal,Clipped,Half,0.1207
P7,tPad,Clipped,Quarter,0.1266
P7,tPad,Clipped,Quarter,0.2089
P7,tPad,Clipped,Quarter,0.1589
P7,tPad,Clipped,Quarter,0.1581
P7,tPad,Clipped,Quarter,0.1388
P7,tPad,Clipped,Quarter,0.1635
P7,tPad,Clipped,Quarter,0.1015
P7,tPad,Clipped,Quarter,0.1624
P7,tPad,Clipped,Quarter,0.0953
P7,Normal,Clipped,Quarter,0.5092
P7,Normal,Clipped,Quarter,0
P7,Normal,Clipped,Quarter,0.2006
P7,Normal,Clipped,Quarter,0.1654
P7,Normal,Clipped,Quarter,0.2454
P7,Normal,Clipped,Quarter,0.1933
P7,Normal,Clipped,Quarter,0.0858
P7,Normal,Clipped,Quarter,0.1585
P7,Normal,Clipped,Quarter,0.2659
P7,Normal,Normal,ThreeQuarters,0.3366
P7,Normal,Normal,ThreeQuarters,0.0221
P7,Normal,Normal,ThreeQuarters,0.4792
P7,Normal,Normal,ThreeQuarters,0.323
P7,Normal,Normal,ThreeQuarters,0.2301
P7,Normal,Normal,ThreeQuarters,0.1499
P7,Normal,Normal,ThreeQuarters,0.5313
P7,Normal,Normal,ThreeQuarters,0.2469
P7,Normal,Normal,ThreeQuarters,0.1445
P7,tPad,Clipped,ThreeQuarters,0.3624
P7,tPad,Clipped,ThreeQuarters,0.2016
P7,tPad,Clipped,ThreeQuarters,0.1391
P7,tPad,Clipped,ThreeQuarters,0.1975
P7,tPad,Clipped,ThreeQuarters,0.1793
P7,tPad,Clipped,ThreeQuarters,0.0986
P7,tPad,Clipped,ThreeQuarters,0.1516
P7,tPad,Clipped,ThreeQuarters,0.1499
P7,tPad,Clipped,ThreeQuarters,0.2136
P7,Normal,Normal,Half,0.2523
P7,Normal,Normal,Half,0.1079
P7,Normal,Normal,Half,0.7183
P7,Normal,Normal,Half,0.1289
P7,Normal,Normal,Half,0.0884
P7,Normal,Normal,Half,0.1527
P7,Normal,Normal,Half,0.1319
P7,Normal,Normal,Half,0.0604
P7,Normal,Normal,Half,0.0979
P7,Normal,Normal,Quarter,0.0981
P7,Normal,Normal,Quarter,0.1343
P7,Normal,Normal,Quarter,0.0617
P7,Normal,Normal,Quarter,0.1598
P7,Normal,Normal,Quarter,0.0515
P7,Normal,Normal,Quarter,0.1611
P7,Normal,Normal,Quarter,0.2499
P7,Normal,Normal,Quarter,0.2735
P7,Normal,Normal,Quarter,0.1841
P8,tPad,Normal,Half,0.1102
P8,tPad,Normal,Half,0.0744
P8,tPad,Normal,Half,0.1564
P8,tPad,Normal,Half,0.1024
P8,tPad,Normal,ThreeQuarters,0.3027
P8,tPad,Normal,ThreeQuarters,0.433
P8,tPad,Normal,ThreeQuarters,0.185
P8,tPad,Normal,ThreeQuarters,0.2891
P8,tPad,Normal,ThreeQuarters,0.1312
P8,tPad,Normal,ThreeQuarters,0.3433
P8,tPad,Normal,ThreeQuarters,0.298
P8,tPad,Normal,ThreeQuarters,0.2768
P8,tPad,Normal,Quarter,0.1138
P8,tPad,Normal,Quarter,0.1167
P8,tPad,Normal,Quarter,0.0847
P8,tPad,Normal,Quarter,0.0951
P8,tPad,Normal,Quarter,0.1031
P8,tPad,Normal,Quarter,0.1637
P8,tPad,Normal,Quarter,0.0743
P8,tPad,Normal,Quarter,0.1071
P8,tPad,Normal,Quarter,0.1304
P8,tPad,Clipped,Quarter,0.0978
P8,tPad,Clipped,Quarter,0.1138
P8,tPad,Clipped,Quarter,0.1069
P8,tPad,Clipped,Quarter,0.1217
P8,tPad,Clipped,Quarter,0.0859
P8,tPad,Clipped,Quarter,0.1067
P8,tPad,Clipped,Quarter,0.1212
P8,tPad,Clipped,Quarter,0.085
P8,tPad,Clipped,Quarter,0.0858
P8,Normal,Clipped,ThreeQuarters,0.1832
P8,Normal,Clipped,ThreeQuarters,0.2539
P8,Normal,Clipped,ThreeQuarters,0.2587
P8,Normal,Clipped,ThreeQuarters,0.135
P8,Normal,Clipped,ThreeQuarters,0.2093
P8,Normal,Clipped,ThreeQuarters,0.241
P8,Normal,Clipped,ThreeQuarters,0.3601
P8,Normal,Clipped,ThreeQuarters,0.2403
P8,Normal,Clipped,ThreeQuarters,0.0623
P8,tPad,Clipped,Half,0.1602
P8,tPad,Clipped,Half,0.162
P8,tPad,Clipped,Half,0.1257
P8,tPad,Clipped,Half,0.0918
P8,tPad,Clipped,Half,0.095
P8,tPad,Clipped,Half,0.2274
P8,tPad,Clipped,Half,0.1696
P8,tPad,Clipped,Half,0.1628
P8,tPad,Clipped,Half,0.1755
P8,Normal,Clipped,Half,0.1594
P8,Normal,Clipped,Half,0.0794
P8,Normal,Clipped,Half,0.2072
P8,Normal,Clipped,Half,0.1398
P8,Normal,Clipped,Half,0.0687
P8,Normal,Clipped,Half,0.1601
P8,Normal,Clipped,Half,0.0835
P8,Normal,Clipped,Half,0.1562
P8,Normal,Clipped,Half,0
P8,tPad,Clipped,ThreeQuarters,0.0613
P8,tPad,Clipped,ThreeQuarters,0.053
P8,tPad,Clipped,ThreeQuarters,0.069
P8,tPad,Clipped,ThreeQuarters,0.0683
P8,tPad,Clipped,ThreeQuarters,0.1159
P8,tPad,Clipped,ThreeQuarters,0.0667
P8,tPad,Clipped,ThreeQuarters,0.0809
P8,tPad,Clipped,ThreeQuarters,0.0578
P8,tPad,Clipped,ThreeQuarters,0.1016
P8,Normal,Clipped,Quarter,0.433
P8,Normal,Clipped,Quarter,0.0642
P8,Normal,Clipped,Quarter,0.1144
P8,Normal,Clipped,Quarter,0
P8,Normal,Clipped,Quarter,0.3073
P8,Normal,Clipped,Quarter,0.2695
P8,Normal,Clipped,Quarter,0.0671
P8,Normal,Clipped,Quarter,0.0646
P8,Normal,Clipped,Quarter,0.0996
P8,Normal,Normal,Quarter,0.0511
P8,Normal,Normal,Quarter,0.165
P8,Normal,Normal,Quarter,0.0668
P8,Normal,Normal,Quarter,0.2152
P8,Normal,Normal,Quarter,0.0436
P8,Normal,Normal,Quarter,0.0572
P8,Normal,Normal,Quarter,0.1018
P8,Normal,Normal,Quarter,0.1776
P8,Normal,Normal,Quarter,0.0897
P8,Normal,Normal,ThreeQuarters,0.2877
P8,Normal,Normal,ThreeQuarters,0.0901
P8,Normal,Normal,ThreeQuarters,0.5435
P8,Normal,Normal,ThreeQuarters,0.1365
P8,Normal,Normal,ThreeQuarters,0.0299
P8,Normal,Normal,ThreeQuarters,0.1628
P8,Normal,Normal,ThreeQuarters,0.3307
P8,Normal,Normal,ThreeQuarters,0.1814
P8,Normal,Normal,ThreeQuarters,0.2044
P8,Normal,Normal,Half,0.2117
P8,Normal,Normal,Half,0.2336
P8,Normal,Normal,Half,0.1222
P8,Normal,Normal,Half,0.4013
P8,Normal,Normal,Half,0.3013
P8,Normal,Normal,Half,0.1005
P8,Normal,Normal,Half,0.3641
P8,Normal,Normal,Half,0.4231
P8,Normal,Normal,Half,0.2136
P9,tPad,Normal,ThreeQuarters,0.1838
P9,tPad,Normal,ThreeQuarters,0.0585
P9,tPad,Normal,ThreeQuarters,0.037
P9,tPad,Normal,ThreeQuarters,0.0585
P9,tPad,Normal,ThreeQuarters,0.0663
P9,tPad,Normal,ThreeQuarters,0.0755
P9,tPad,Normal,ThreeQuarters,0.1237
P9,tPad,Normal,ThreeQuarters,0.0182
P9,tPad,Normal,ThreeQuarters,0.0835
P9,tPad,Clipped,Quarter,0.066
P9,tPad,Clipped,Quarter,0.1295
P9,tPad,Clipped,Quarter,0.1669
P9,tPad,Clipped,Quarter,0.2318
P9,tPad,Clipped,Quarter,0.0976
P9,tPad,Clipped,Quarter,0.1216
P9,tPad,Clipped,Quarter,0.1037
P9,tPad,Clipped,Quarter,0.0811
P9,tPad,Clipped,Quarter,0.0685
P9,tPad,Normal,Half,0.2725
P9,tPad,Normal,Half,0.0714
P9,tPad,Normal,Half,0.1491
P9,tPad,Normal,Half,0.1491
P9,tPad,Normal,Half,0.0497
P9,tPad,Normal,Half,0.052
P9,tPad,Normal,Half,0.0518
P9,tPad,Normal,Half,0
P9,tPad,Normal,Half,0.0867
P9,tPad,Clipped,Half,0.064
P9,tPad,Clipped,Half,0.0548
P9,tPad,Clipped,Half,0.1018
P9,tPad,Clipped,Half,0.0631
P9,tPad,Clipped,Half,0.2809
P9,tPad,Clipped,Half,0.1035
P9,tPad,Clipped,Half,0.2436
P9,tPad,Clipped,Half,0.0706
P9,tPad,Clipped,Half,0.0732
P9,tPad,Normal,Quarter,0.1528
P9,tPad,Normal,Quarter,0.1222
P9,tPad,Normal,Quarter,0.0524
P9,tPad,Normal,Quarter,0.1595
P9,tPad,Normal,Quarter,0.1432
P9,tPad,Normal,Quarter,0.1328
P9,tPad,Normal,Quarter,0.1139
P9,tPad,Normal,Quarter,0.0394
P9,tPad,Normal,Quarter,0.0788
P9,tPad,Clipped,ThreeQuarters,0.0998
P9,tPad,Clipped,ThreeQuarters,0.0947
P9,tPad,Clipped,ThreeQuarters,0.1028
P9,tPad,Clipped,ThreeQuarters,0.1126
P9,tPad,Clipped,ThreeQuarters,0.0741
P9,tPad,Clipped,ThreeQuarters,0.1076
P9,tPad,Clipped,ThreeQuarters,0.0351
P9,tPad,Clipped,ThreeQuarters,0.0497
P9,tPad,Clipped,ThreeQuarters,0.0746
P9,Normal,Clipped,ThreeQuarters,0.3141
P9,Normal,Clipped,ThreeQuarters,0.3516
P9,Normal,Clipped,ThreeQuarters,0.0761
P9,Normal,Clipped,ThreeQuarters,0.0596
P9,Normal,Clipped,ThreeQuarters,0.1669
P9,Normal,Clipped,ThreeQuarters,0.1778
P9,Normal,Clipped,ThreeQuarters,0.0395
P9,Normal,Clipped,ThreeQuarters,0.053
P9,Normal,Clipped,ThreeQuarters,0
P9,Normal,Normal,Quarter,0.3625
P9,Normal,Normal,Quarter,0.3874
P9,Normal,Normal,Quarter,0.233
P9,Normal,Normal,Quarter,0.616
P9,Normal,Normal,Quarter,0.183
P9,Normal,Normal,Quarter,0.1799
P9,Normal,Normal,Quarter,0.2726
P9,Normal,Normal,Quarter,0.217
P9,Normal,Normal,Quarter,0.1789
P9,Normal,Clipped,Half,0.0971
P9,Normal,Clipped,Half,0
P9,Normal,Clipped,Half,0.0997
P9,Normal,Clipped,Half,0.1225
P9,Normal,Clipped,Half,0.5368
P9,Normal,Clipped,Half,0.1013
P9,Normal,Clipped,Half,0
P9,Normal,Clipped,Half,0.1118
P9,Normal,Clipped,Half,0.1293
P9,Normal,Normal,Half,0.3101
P9,Normal,Normal,Half,0.2339
P9,Normal,Normal,Half,0.1349
P9,Normal,Normal,Half,0.1215
P9,Normal,Normal,Half,0.2214
P9,Normal,Normal,Half,0.0732
P9,Normal,Normal,Half,0.2201
P9,Normal,Normal,Half,0.2447
P9,Normal,Normal,Half,0.1222
P9,Normal,Clipped,Quarter,0.2066
P9,Normal,Clipped,Quarter,0.1847
P9,Normal,Clipped,Quarter,0.0366
P9,Normal,Clipped,Quarter,0.2584
P9,Normal,Clipped,Quarter,0.1789
P9,Normal,Clipped,Quarter,0.1891
P9,Normal,Clipped,Quarter,0.1258
P9,Normal,Clipped,Quarter,0.1781
P9,Normal,Clipped,Quarter,0.1695
P9,Normal,Normal,ThreeQuarters,0.3485
P9,Normal,Normal,ThreeQuarters,0.2714
P9,Normal,Normal,ThreeQuarters,0.2441
P9,Normal,Normal,ThreeQuarters,0.3974
P9,Normal,Normal,ThreeQuarters,0.6491
P9,Normal,Normal,ThreeQuarters,0.281
P9,Normal,Normal,ThreeQuarters,0.4964
P9,Normal,Normal,ThreeQuarters,0.2656
P9,Normal,Normal,ThreeQuarters,0.5707
P10,tPad,Clipped,Quarter,0.0681
P10,tPad,Clipped,Quarter,0.1368
P10,tPad,Clipped,Quarter,0.0972
P10,tPad,Clipped,Quarter,0.0527
P10,tPad,Clipped,Quarter,0.0739
P10,tPad,Clipped,Quarter,0.1054
P10,tPad,Clipped,Quarter,0.0745
P10,tPad,Clipped,Quarter,0.1181
P10,tPad,Clipped,Quarter,0.0865
P10,tPad,Clipped,Half,0.0962
P10,tPad,Clipped,Half,0.0509
P10,tPad,Clipped,Half,0.1193
P10,tPad,Clipped,Half,0.1206
P10,tPad,Clipped,Half,0.1102
P10,tPad,Clipped,Half,0.0851
P10,tPad,Clipped,Half,0.084
P10,tPad,Clipped,Half,0.0758
P10,tPad,Clipped,Half,0.0666
P10,tPad,Normal,ThreeQuarters,0.0655
P10,tPad,Normal,ThreeQuarters,0.0702
P10,tPad,Normal,ThreeQuarters,0.0745
P10,tPad,Normal,ThreeQuarters,0.0498
P10,tPad,Normal,ThreeQuarters,0.0684
P10,tPad,Normal,ThreeQuarters,0.1293
P10,tPad,Normal,ThreeQuarters,0.0524
P10,tPad,Normal,ThreeQuarters,0.0376
P10,tPad,Normal,ThreeQuarters,0.0754
P10,tPad,Clipped,ThreeQuarters,0.0749
P10,tPad,Clipped,ThreeQuarters,0.0749
P10,tPad,Clipped,ThreeQuarters,0.0902
P10,tPad,Clipped,ThreeQuarters,0.0833
P10,tPad,Clipped,ThreeQuarters,0.0948
P10,tPad,Clipped,ThreeQuarters,0.0751
P10,tPad,Clipped,ThreeQuarters,0.0845
P10,tPad,Clipped,ThreeQuarters,0.0691
P10,tPad,Clipped,ThreeQuarters,0.084
P10,tPad,Normal,Half,0.0909
P10,tPad,Normal,Half,0.0611
P10,tPad,Normal,Half,0.0866
P10,tPad,Normal,Half,0.0336
P10,tPad,Normal,Half,0.0716
P10,tPad,Normal,Half,0.0748
P10,tPad,Normal,Half,0.0909
P10,tPad,Normal,Half,0.1291
P10,tPad,Normal,Half,0.0872
P10,Normal,Normal,Quarter,0.1368
P10,Normal,Normal,Quarter,0.1543
P10,Normal,Normal,Quarter,0.0159
P10,Normal,Normal,Quarter,0.1197
P10,Normal,Normal,Quarter,0.0453
P10,Normal,Normal,Quarter,0.0586
P10,Normal,Normal,Quarter,0.0811
P10,Normal,Normal,Quarter,0
P10,Normal,Normal,Quarter,0.0347
P10,tPad,Normal,Quarter,0.0579
P10,tPad,Normal,Quarter,0.0769
P10,tPad,Normal,Quarter,0.1078
P10,tPad,Normal,Quarter,0.0769
P10,tPad,Normal,Quarter,0.0579
P10,tPad,Normal,Quarter,0.0654
P10,tPad,Normal,Quarter,0.0748
P10,tPad,Normal,Quarter,0.0359
P10,tPad,Normal,Quarter,0.0568
P10,Normal,Normal,Half,0.0463
P10,Normal,Normal,Half,0
P10,Normal,Normal,Half,0.1117
P10,Normal,Normal,Half,0.1015
P10,Normal,Normal,Half,0.044
P10,Normal,Normal,Half,0.04
P10,Normal,Normal,Half,0.1036
P10,Normal,Normal,Half,0.0612
P10,Normal,Normal,Half,0.0489
P10,Normal,Clipped,ThreeQuarters,0.0924
P10,Normal,Clipped,ThreeQuarters,0.0841
P10,Normal,Clipped,ThreeQuarters,0.0887
P10,Normal,Clipped,ThreeQuarters,0.0565
P10,Normal,Clipped,ThreeQuarters,0.1444
P10,Normal,Clipped,ThreeQuarters,0.0428
P10,Normal,Clipped,ThreeQuarters,0.0558
P10,Normal,Clipped,ThreeQuarters,0.0701
P10,Normal,Clipped,ThreeQuarters,0.0528
P10,Normal,Normal,ThreeQuarters,0.0845
P10,Normal,Normal,ThreeQuarters,0.1981
P10,Normal,Normal,ThreeQuarters,0.0897
P10,Normal,Normal,ThreeQuarters,0.1205
P10,Normal,Normal,ThreeQuarters,0.1107
P10,Normal,Normal,ThreeQuarters,0.0651
P10,Normal,Normal,ThreeQuarters,0.052
P10,Normal,Normal,ThreeQuarters,0.0641
P10,Normal,Normal,ThreeQuarters,0.0745
P10,Normal,Clipped,Half,0.1604
P10,Normal,Clipped,Half,0.0634
P10,Normal,Clipped,Half,0
P10,Normal,Clipped,Half,0.0591
P10,Normal,Clipped,Half,0.158
P10,Normal,Clipped,Half,0.0531
P10,Normal,Clipped,Half,0.0581
P10,Normal,Clipped,Half,0.063
P10,Normal,Clipped,Half,0.0302
P10,Normal,Clipped,Quarter,0.0983
P10,Normal,Clipped,Quarter,0.0567
P10,Normal,Clipped,Quarter,0.0204
P10,Normal,Clipped,Quarter,0
P10,Normal,Clipped,Quarter,0.0572
P10,Normal,Clipped,Quarter,0.1164
P10,Normal,Clipped,Quarter,0.1331
P10,Normal,Clipped,Quarter,0.1004
P10,Normal,Clipped,Quarter,0.0923
P11,tPad,Clipped,Half,0.1249
P11,tPad,Clipped,Half,0.072
P11,tPad,Clipped,Half,0.0909
P11,tPad,Clipped,Half,0.126
P11,tPad,Clipped,Half,0.0634
P11,tPad,Clipped,Half,0.0546
P11,tPad,Clipped,Half,0.0768
P11,tPad,Clipped,Half,0.0749
P11,tPad,Clipped,Half,0.0734
P11,tPad,Clipped,ThreeQuarters,0.13
P11,tPad,Clipped,ThreeQuarters,0.0763
P11,tPad,Clipped,ThreeQuarters,0.1229
P11,tPad,Clipped,ThreeQuarters,0.0544
P11,tPad,Clipped,ThreeQuarters,0.0259
P11,tPad,Clipped,ThreeQuarters,0.0568
P11,tPad,Clipped,ThreeQuarters,0
P11,tPad,Clipped,ThreeQuarters,0.1118
P11,tPad,Clipped,ThreeQuarters,0.1092
P11,tPad,Clipped,Quarter,0.0574
P11,tPad,Clipped,Quarter,0.0733
P11,tPad,Clipped,Quarter,0.1854
P11,tPad,Clipped,Quarter,0.0853
P11,tPad,Clipped,Quarter,0.1005
P11,tPad,Clipped,Quarter,0.1028
P11,tPad,Clipped,Quarter,0.0857
P11,tPad,Clipped,Quarter,0.1107
P11,tPad,Clipped,Quarter,0.2118
P11,Normal,Normal,Quarter,0.0637
P11,Normal,Normal,Quarter,0.0733
P11,Normal,Normal,Quarter,0.0927
P11,Normal,Normal,Quarter,0.4338
P11,Normal,Normal,Quarter,0.2712
P11,Normal,Normal,Quarter,0.4231
P11,Normal,Normal,Quarter,0.0962
P11,Normal,Normal,Quarter,0.1648
P11,Normal,Normal,Quarter,0.0777
P11,tPad,Normal,ThreeQuarters,0.0736
P11,tPad,Normal,ThreeQuarters,0.1463
P11,tPad,Normal,ThreeQuarters,0.1815
P11,tPad,Normal,ThreeQuarters,0.1107
P11,tPad,Normal,ThreeQuarters,0.1148
P11,tPad,Normal,ThreeQuarters,0.1283
P11,tPad,Normal,ThreeQuarters,0.0746
P11,tPad,Normal,ThreeQuarters,0.0543
P11,tPad,Normal,ThreeQuarters,0.0762
P11,Normal,Normal,Half,0.2334
P11,Normal,Normal,Half,0.0902
P11,Normal,Normal,Half,0.1696
P11,Normal,Normal,Half,0.212
P11,Normal,Normal,Half,0.2025
P11,Normal,Normal,Half,0.2456
P11,Normal,Normal,Half,0.1695
P11,Normal,Normal,Half,0.0473
P11,Normal,Normal,Half,0.1376
P11,tPad,Normal,Half,0.1116
P11,tPad,Normal,Half,0.131
P11,tPad,Normal,Half,0.0516
P11,tPad,Normal,Half,0.0746
P11,tPad,Normal,Half,2.7713
P11,tPad,Normal,Half,0.1651
P11,tPad,Normal,Half,0.131
P11,tPad,Normal,Half,0.1553
P11,tPad,Normal,Half,0.1045
P11,Normal,Normal,ThreeQuarters,0.1204
P11,Normal,Normal,ThreeQuarters,0.1048
P11,Normal,Normal,ThreeQuarters,0.5297
P11,Normal,Normal,ThreeQuarters,0.0526
P11,Normal,Normal,ThreeQuarters,0.2479
P11,Normal,Normal,ThreeQuarters,0.2164
P11,Normal,Normal,ThreeQuarters,0.3646
P11,Normal,Normal,ThreeQuarters,0.2656
P11,Normal,Normal,ThreeQuarters,0.4829
P11,tPad,Normal,Quarter,0.1448
P11,tPad,Normal,Quarter,0.1611
P11,tPad,Normal,Quarter,0.1626
P11,tPad,Normal,Quarter,0.1638
P11,tPad,Normal,Quarter,0.1984
P11,tPad,Normal,Quarter,0.1755
P11,tPad,Normal,Quarter,0.1648
P11,tPad,Normal,Quarter,0.1217
P11,tPad,Normal,Quarter,0.0898
P11,Normal,Clipped,Quarter,0.0654
P11,Normal,Clipped,Quarter,0.04
P11,Normal,Clipped,Quarter,0.0934
P11,Normal,Clipped,Quarter,0.1959
P11,Normal,Clipped,Quarter,0.113
P11,Normal,Clipped,Quarter,0
P11,Normal,Clipped,Quarter,0.0296
P11,Normal,Clipped,Quarter,0.0644
P11,Normal,Clipped,Quarter,0.0755
P11,Normal,Clipped,ThreeQuarters,0.3136
P11,Normal,Clipped,ThreeQuarters,0.0935
P11,Normal,Clipped,ThreeQuarters,0.5596
P11,Normal,Clipped,ThreeQuarters,0.3282
P11,Normal,Clipped,ThreeQuarters,0.221
P11,Normal,Clipped,ThreeQuarters,0.3316
P11,Normal,Clipped,ThreeQuarters,0.2653
P11,Normal,Clipped,ThreeQuarters,0.2605
P11,Normal,Clipped,ThreeQuarters,0.1953
P11,Normal,Clipped,Half,0.1884
P11,Normal,Clipped,Half,0.6774
P11,Normal,Clipped,Half,0.3169
P11,Normal,Clipped,Half,0.0921
P11,Normal,Clipped,Half,0.0425
P11,Normal,Clipped,Half,0.0473
P11,Normal,Clipped,Half,0.0966
P11,Normal,Clipped,Half,0.0913
P11,Normal,Clipped,Half,0.1595
P12,tPad,Clipped,ThreeQuarters,0
P12,tPad,Clipped,ThreeQuarters,0.0389
P12,tPad,Clipped,ThreeQuarters,0.0247
P12,tPad,Clipped,ThreeQuarters,0.0662
P12,tPad,Clipped,ThreeQuarters,0
P12,tPad,Clipped,ThreeQuarters,0.0366
P12,tPad,Clipped,ThreeQuarters,0.0489
P12,tPad,Clipped,ThreeQuarters,0.033
P12,tPad,Clipped,ThreeQuarters,0.023
P12,tPad,Clipped,Half,0.0764
P12,tPad,Clipped,Half,0
P12,tPad,Clipped,Half,0.0569
P12,tPad,Clipped,Half,0.026
P12,tPad,Clipped,Half,0.0404
P12,tPad,Clipped,Half,0.0183
P12,tPad,Clipped,Half,0
P12,tPad,Clipped,Half,0.0512
P12,tPad,Clipped,Half,0.0257
P12,tPad,Clipped,Quarter,0.0562
P12,tPad,Clipped,Quarter,0.0568
P12,tPad,Clipped,Quarter,0.0641
P12,tPad,Clipped,Quarter,0.0249
P12,tPad,Clipped,Quarter,0.0244
P12,tPad,Clipped,Quarter,0.0252
P12,tPad,Clipped,Quarter,0.0872
P12,tPad,Clipped,Quarter,0.0175
P12,tPad,Clipped,Quarter,0.0398
P12,tPad,Normal,Half,0.0938
P12,tPad,Normal,Half,0
P12,tPad,Normal,Half,0.0338
P12,tPad,Normal,Half,0.0167
P12,tPad,Normal,Half,0.0372
P12,tPad,Normal,Half,0.071
P12,tPad,Normal,Half,0.0504
P12,tPad,Normal,Half,0.0168
P12,tPad,Normal,Half,0.0467
P12,tPad,Normal,Quarter,0.017
P12,tPad,Normal,Quarter,0.0238
P12,tPad,Normal,Quarter,0.0373
P12,tPad,Normal,Quarter,0.0542
P12,tPad,Normal,Quarter,0.0236
P12,tPad,Normal,Quarter,0
P12,tPad,Normal,Quarter,0.0167
P12,tPad,Normal,Quarter,0.0333
P12,tPad,Normal,Quarter,0.0596
